"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Cities","267017005","Number","397"
"Population Usually Resident and Present in the State","2022","Cities","057143003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","197052001/197052002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267065008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217056019","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077101020","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268128011","Number","303"
"Population Usually Resident and Present in the State","2022","Cities","268162014","Number","164"
"Population Usually Resident and Present in the State","2022","Cities","217025001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268136016","Number","203"
"Population Usually Resident and Present in the State","2022","Cities","247117014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267099025","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268003007","Number","166"
"Population Usually Resident and Present in the State","2022","Cities","237011001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268131007","Number","312"
"Population Usually Resident and Present in the State","2022","Cities","247117042","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267103004/05","Number","205"
"Population Usually Resident and Present in the State","2022","Cities","268110002","Number","174"
"Population Usually Resident and Present in the State","2022","Cities","027057006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","187026001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267132018","Number",""
"Population Usually Resident and Present in the State","2022","Cities","048042004","Number","223"
"Population Usually Resident and Present in the State","2022","Cities","087071047","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097101001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","237004001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057030001/057030012","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057022010","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247033005","Number",""
"Population Usually Resident and Present in the State","2022","Cities","128019005","Number","172"
"Population Usually Resident and Present in the State","2022","Cities","067119001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","187060001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057026001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217177001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","068022004","Number","412"
"Population Usually Resident and Present in the State","2022","Cities","267139001","Number","555"
"Population Usually Resident and Present in the State","2022","Cities","237003014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087069025","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268135013","Number","129"
"Population Usually Resident and Present in the State","2022","Cities","047271021","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087001006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047072017","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057035003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047016050","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077129002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217156007/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077014002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268134002","Number","214"
"Population Usually Resident and Present in the State","2022","Cities","187068001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","147034016","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217050002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267124003","Number","271"
"Population Usually Resident and Present in the State","2022","Cities","087058001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","187018015","Number",""
"Population Usually Resident and Present in the State","2022","Cities","157109003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267010004","Number","250"
"Population Usually Resident and Present in the State","2022","Cities","157116001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047298006","Number","182"
"Population Usually Resident and Present in the State","2022","Cities","047106025","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097011006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267116010","Number","205"
"Population Usually Resident and Present in the State","2022","Cities","217039002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167021001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","227090003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167085006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","017036002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267068001","Number","385"
"Population Usually Resident and Present in the State","2022","Cities","268129025","Number","206"
"Population Usually Resident and Present in the State","2022","Cities","127058003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167025028","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057058003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268105016/02","Number","108"
"Population Usually Resident and Present in the State","2022","Cities","137025001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268020003","Number","263"
"Population Usually Resident and Present in the State","2022","Cities","268129016","Number","289"
"Population Usually Resident and Present in the State","2022","Cities","268119010","Number","324"
"Population Usually Resident and Present in the State","2022","Cities","057052001/057052002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267048004","Number","261"
"Population Usually Resident and Present in the State","2022","Cities","267100062","Number","316"
