"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","017010026","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077089002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147028003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127116008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","097022010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","027070002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267020012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247091018","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","027093002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267106007","Number","237"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067033001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267001007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267100025","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","128019002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067217001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268115012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207030005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247047001/02/247047006/247047002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","128004005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268021012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057079001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087050022","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247068002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047096014","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057040001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237106012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","217158002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","097063059","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268062005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077089016","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047277027","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267132032","Number","386"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048008006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037080010","Number","129"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268005009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047107015","Number","245"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","097062017","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268146002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047279004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047318001/02","Number","214"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","097063038","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267080026","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047298003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268005012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257026001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","137053001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057119007/057119001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047220001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268089007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057115005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067170025","Number","208"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267092011","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267028004/02/08","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048066006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048028004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257048033","Number","371"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047137002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077054007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047245004/02","Number","521"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147003002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037009017","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267103010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147016004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247076003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268017013","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047277020","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268094013","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267115004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","177055001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048046004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147031004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067047004","Number","247"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077033003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268158016/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268055003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147030002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247114002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127026037","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107072005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167070006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047315001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087069050","Number","377"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077005001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267053025","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067075003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267132037","Number","458"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268038005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157094003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","197097006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268072001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237028001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207002001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147025010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267089002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037099013","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147019056","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167025001/02","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037150001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047201001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268098004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207082009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267033005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267100079","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107037001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268100005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","027004006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","177061002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268108018/268108019","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267092035","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268143022","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127060003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047258012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047033016","Number","304"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047115009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","217068001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","097019003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067211022","Number","206"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157121002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087064036","Number","274"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257067001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067185007","Number","259"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","227090006","Number","335"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147014015","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057013002/057013005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268096020","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157116006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267158015","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","217101001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047106002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267069007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127120003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267004011/03","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057011006/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087052001","Number","287"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047064008/047064001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048027002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087056005/03","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087066004","Number","370"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","137027001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267127005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257005002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167065035","Number","250"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","217176011","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267007004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267150005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157067002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047075002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047072002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267123001","Number","223"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048003004/02","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247067001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267004026","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047099001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267041006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267158012/05","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257036003/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257016009","Number","472"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057114011","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167034002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147019069","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247031002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257021003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267021004/267026005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047136008/047136003/047136005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127032001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","227023001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","217008001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237005010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077025001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047112001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257039022","Number","269"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127119001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267049006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","128033004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157016006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048072004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268144009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157048023","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077118002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267118012","Number","436"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267038009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147003003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107006001/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267138010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","117008001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107052002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267008004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067122001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267097013","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157131002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","137030001/137052001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047298009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047286001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157077001/157077002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267039008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257017001","Number","243"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047320004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127105009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047323014","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","017051010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267095006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268042017","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","227090018","Number","295"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047294004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267151001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237106023","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047054014","Number","357"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267103018","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237077008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268063002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077023005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047016022","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267081002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267103007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047016021","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","197021003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247040009/247040010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037142002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047021001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048062001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047041005/05","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268092010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077153004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","117070001/117070002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","228032002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267133012","Number","215"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247065003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267098006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057072002/057072001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077165006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267097016","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047265003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257078008","Number","341"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147016005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047170002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268096012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267158011/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207070001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267120009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047072028","Number","350"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","227037001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267080014","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067148001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047032001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","068010001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107078023/107078024","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077160025","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057095006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","228027002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267158006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048072006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257017023","Number","355"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087055004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268133006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087050020","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247040006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067169003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267146004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267144010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057024002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","197008012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047222007","Number","188"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267095014","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267003017","Number","252"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157096001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","187087020","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157049023","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268098007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087048009","Number","310"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","068006003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267059002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267140038","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107040001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268135014","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067212009","Number","285"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268079001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","228036005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157153011","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268030011","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267010002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","228038002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067086003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047229002","Number","309"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268099007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167087001/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167087001/02","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087022001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","187048001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147020007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147002001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268070014","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257015006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107073008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","097020007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207071008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107080016","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267040021","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","017037001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037106001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157048013","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267004007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127105008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268070006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","187076001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157024002/157024003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","197043001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167029005/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","187034001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047277014","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047097002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","187036024/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","177002004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267147010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047173009","Number","212"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037007001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127129001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077074003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087029007","Number","264"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267076013","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037017001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047271012","Number","348"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087023035","Number","236"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","037027008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","027079002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268079006","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167030009","Number","357"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","257031001/257031004/257031005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","177028002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127131003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","217142002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268116005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268092012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267001009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","127058004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048054007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268003016","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","107058002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","047292001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","157143002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267023005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268036012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","197110001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247105002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267028085","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","027024002","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","067213002","Number","236"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267001003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057003003/057003005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","237005007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","207082015","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","197069001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077104011","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048065004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268071003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087001011","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","057017004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268103007","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","128001012","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267097005","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","017051003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048028008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","227022002/01","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","267145009","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","077160044","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","247040008","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","097103001","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","087071023/02","Number","321"
"Population Usually Resident and Present in the State","2022","Satellite urban towns","268150010","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","167040003","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","147026004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","228011004","Number",""
"Population Usually Resident and Present in the State","2022","Satellite urban towns","048044008","Number",""
