"Statistic Label","Census Year","Towns 2022","Means of Travel","UNIT","VALUE"
"Usually resident by means of travel to school, college or childcare","2022","Ballinagar, Co Offaly","Total","Number","87"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","On Foot","Number","10"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Bus, minibus or coach","Number","21"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Car Driver","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Car passenger","Number","21"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Not stated","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Killeigh, Co Offaly","Total","Number","58"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","On Foot","Number","760"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Bicycle","Number","85"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Bus, minibus or coach","Number","580"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Train, DART or LUAS","Number","77"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Car Driver","Number","98"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Car passenger","Number","1772"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Van","Number","8"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Other (incl. lorry)","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Work mainly at or from home","Number","19"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Not stated","Number","431"
"Usually resident by means of travel to school, college or childcare","2022","Tullamore, Co Offaly","Total","Number","3833"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","On Foot","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Bus, minibus or coach","Number","15"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Car Driver","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Car passenger","Number","16"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Killurin, Co Offaly","Total","Number","37"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","On Foot","Number","35"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Bicycle","Number","8"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Bus, minibus or coach","Number","49"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Train, DART or LUAS","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Car Driver","Number","12"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Car passenger","Number","130"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Not stated","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Mucklagh, Co Offaly","Total","Number","243"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","On Foot","Number","191"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Bicycle","Number","31"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Bus, minibus or coach","Number","82"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Train, DART or LUAS","Number","12"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Car Driver","Number","37"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Car passenger","Number","469"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Work mainly at or from home","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Not stated","Number","61"
"Usually resident by means of travel to school, college or childcare","2022","Clara, Co Offaly","Total","Number","887"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","On Foot","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Bus, minibus or coach","Number","8"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Car Driver","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Car passenger","Number","40"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Not stated","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Ballycumber, Co Offaly","Total","Number","53"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","On Foot","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Bicycle","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Bus, minibus or coach","Number","26"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Car Driver","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Car passenger","Number","22"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Not stated","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Pollagh, Co Offaly","Total","Number","56"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","On Foot","Number","25"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Bus, minibus or coach","Number","18"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Car Driver","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Car passenger","Number","27"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Not stated","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Kinnitty, Co Offaly","Total","Number","75"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","On Foot","Number","102"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Bus, minibus or coach","Number","10"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Car Driver","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Car passenger","Number","102"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Not stated","Number","30"
"Usually resident by means of travel to school, college or childcare","2022","Kilcormac, Co Offaly","Total","Number","251"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","On Foot","Number","79"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Bicycle","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Bus, minibus or coach","Number","12"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Train, DART or LUAS","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Car Driver","Number","22"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Car passenger","Number","158"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Not stated","Number","28"
"Usually resident by means of travel to school, college or childcare","2022","Ferbane, Co Offaly","Total","Number","305"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","On Foot","Number","21"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Bus, minibus or coach","Number","38"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Car Driver","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Car passenger","Number","77"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Not stated","Number","9"
"Usually resident by means of travel to school, college or childcare","2022","Cloghan, Co Offaly","Total","Number","151"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","On Foot","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Bus, minibus or coach","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Car Driver","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Car passenger","Number","17"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Belmont, Co Offaly","Total","Number","26"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","On Foot","Number","33"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Bicycle","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Bus, minibus or coach","Number","12"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Car Driver","Number","13"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Car passenger","Number","106"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Not stated","Number","12"
"Usually resident by means of travel to school, college or childcare","2022","Crinkill, Co Offaly","Total","Number","179"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","On Foot","Number","306"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Bicycle","Number","20"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Bus, minibus or coach","Number","60"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Train, DART or LUAS","Number","7"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Car Driver","Number","45"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Car passenger","Number","522"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Van","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Work mainly at or from home","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Not stated","Number","108"
"Usually resident by means of travel to school, college or childcare","2022","Birr, Co Offaly","Total","Number","1076"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","On Foot","Number","23"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Bus, minibus or coach","Number","35"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Car Driver","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Car passenger","Number","63"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Work mainly at or from home","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Not stated","Number","21"
"Usually resident by means of travel to school, college or childcare","2022","Shinrone, Co Offaly","Total","Number","152"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","On Foot","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Bus, minibus or coach","Number","23"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Car Driver","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Car passenger","Number","38"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Work mainly at or from home","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Not stated","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Moneygall, Co Offaly","Total","Number","73"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","On Foot","Number","178"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Bicycle","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Bus, minibus or coach","Number","22"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Car Driver","Number","16"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Car passenger","Number","142"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Van","Number","4"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Not stated","Number","40"
"Usually resident by means of travel to school, college or childcare","2022","Banagher, Co Offaly","Total","Number","409"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","On Foot","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Bus, minibus or coach","Number","17"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Car Driver","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Car passenger","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Shannonbridge, Co Offaly","Total","Number","25"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","On Foot","Number","49"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Bicycle","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Bus, minibus or coach","Number","49"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Car Driver","Number","6"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Car passenger","Number","66"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Not stated","Number","13"
"Usually resident by means of travel to school, college or childcare","2022","Clonmellon, Co Westmeath","Total","Number","191"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","On Foot","Number","19"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Bicycle","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Bus, minibus or coach","Number","57"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Car Driver","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Car passenger","Number","93"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Not stated","Number","19"
"Usually resident by means of travel to school, college or childcare","2022","Delvin, Co Westmeath","Total","Number","196"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","On Foot","Number","5"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Bicycle","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Bus, minibus or coach","Number","14"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Train, DART or LUAS","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Car Driver","Number","8"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Car passenger","Number","16"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Van","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Work mainly at or from home","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Not stated","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Raharney, Co Westmeath","Total","Number","47"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","On Foot","Number","227"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Bicycle","Number","14"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Bus, minibus or coach","Number","324"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Train, DART or LUAS","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Car Driver","Number","30"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Car passenger","Number","226"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Van","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Other (incl. lorry)","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Work mainly at or from home","Number","3"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Not stated","Number","65"
"Usually resident by means of travel to school, college or childcare","2022","Kinnegad, Co Westmeath","Total","Number","894"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","On Foot","Number","136"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Bicycle","Number","22"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Bus, minibus or coach","Number","81"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Train, DART or LUAS","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Car Driver","Number","14"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Car passenger","Number","155"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Van","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Other (incl. lorry)","Number","1"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Work mainly at or from home","Number","2"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Not stated","Number","16"
"Usually resident by means of travel to school, college or childcare","2022","Killucan-Rathwire, Co Westmeath","Total","Number","429"
"Usually resident by means of travel to school, college or childcare","2022","Collinstown, Co Westmeath","On Foot","Number","26"
"Usually resident by means of travel to school, college or childcare","2022","Collinstown, Co Westmeath","Bicycle","Number","0"
"Usually resident by means of travel to school, college or childcare","2022","Collinstown, Co Westmeath","Bus, minibus or coach","Number","18"
