"Statistic Label","Census Year","Towns 2022","Means of Travel","UNIT","VALUE"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Car Driver","Number","170"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Car passenger","Number","15"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Van","Number","25"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Other (incl. lorry)","Number","3"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Work mainly at or from home","Number","30"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Not stated","Number","61"
"Usually resident by means of travel to work","2022","Omeath, Co Louth","Total","Number","326"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","On Foot","Number","0"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Bicycle","Number","1"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Bus, minibus or coach","Number","3"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Train, DART or LUAS","Number","3"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Motorcycle or scooter","Number","0"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Car Driver","Number","105"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Car passenger","Number","12"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Van","Number","22"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Other (incl. lorry)","Number","3"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Work mainly at or from home","Number","19"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Not stated","Number","6"
"Usually resident by means of travel to work","2022","Jenkinstown, Co Louth","Total","Number","174"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","On Foot","Number","3"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Bicycle","Number","0"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Bus, minibus or coach","Number","2"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Train, DART or LUAS","Number","0"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Motorcycle or scooter","Number","1"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Car Driver","Number","58"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Car passenger","Number","5"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Van","Number","6"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Other (incl. lorry)","Number","3"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Work mainly at or from home","Number","8"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Not stated","Number","3"
"Usually resident by means of travel to work","2022","Beaulieu, Co Louth","Total","Number","89"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","On Foot","Number","2739"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Bicycle","Number","291"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Bus, minibus or coach","Number","1126"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Train, DART or LUAS","Number","445"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Motorcycle or scooter","Number","64"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Car Driver","Number","9508"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Car passenger","Number","1025"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Van","Number","822"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Other (incl. lorry)","Number","49"
"Usually resident by means of travel to work","2022","Drogheda, Counties Louth & Meath","Work mainly at or from home","Number","1552"
